date,title,start_time,end_time,notes,sheet_count
2025-01-03,Densmore Pracice,17:00,19:00,5-7PM,
2025-01-04,Bruce Densmore,09:00,17:00,Stick Leauge competition,
2025-01-05,Bruce Densmore,09:00,17:00,Stick Leauge competition,
2025-01-06,SO Practice,18:30,20:00,6:30-8:00PM - 1 Sheet,1
2025-01-12,Elsa Tokunaga,14:00,16:00,"Shed - 8 people, 2-4PM",
2025-01-13,SO Practice,18:30,20:00,6:30-8:00PM - 1 Sheet,1
2025-01-17,Mixed Prov Stick,09:00,17:00,,
2025-01-18,Mixed Prov Stick,09:00,17:00,,
2025-01-19,Mixed Prov Stick,09:00,17:00,,
2025-01-20,SO Practice,18:30,20:00,6:30-8:00PM - 1 Sheet,1
2025-01-25,Junior Practice,18:00,21:00,,
2025-01-30,Firefighters,00:00,23:59,All Day Event,
2025-01-31,Firefighters,00:00,23:59,All Day Event,
2025-02-01,Firefighters,00:00,23:59,All Day Event,
2025-02-02,Firefighters,00:00,23:59,All Day Event,
2025-02-02,SO Practice,18:30,20:00,6:30-8:00PM - 1 Sheet,1
2025-02-08,Formal Dinner,18:00,22:00,not comfirmed,
2025-02-15,U-13,09:00,17:00,,
2025-02-16,U-13,09:00,17:00,,
2025-02-17,U-13,09:00,17:00,,
2025-02-22,HS Regionals,00:00,23:59,All Day Event,
2025-02-23,HS Regionals,00:00,23:59,All Day Event,
2025-03-01,Junior Workshop,09:00,15:00,,
2025-03-02,Junior Workshop,09:00,15:00,,
2025-03-15,Mason's,08:00,16:00,"8AM to 4PM, Bar Service. Confirmed",
2025-03-28,Sleepwalker,09:00,17:00,,
2025-03-29,Sleepwalker,09:00,17:00,,
2025-06-04,Shuffleboard,09:00,12:00,9am-12pm,
2025-06-11,Shuffleboard,09:00,12:00,9am-12pm,
2025-06-18,Shuffleboard,09:00,12:00,9am-12pm,
2025-06-21,Martin,14:00,17:00,2-5 pm, no bar service,
2025-06-25,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-02,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-09,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-09,NS Power 10-7pm,10:00,19:00,2-5 pm, no bar service,
2025-07-16,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-23,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-30,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-06,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-13,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-20,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-27,Shuffleboard,09:00,12:00,9am-12pm,
2025-09-01,Ice Install in progress,09:00,17:00,,
2025-09-19,New Rocks Celebration,18:00,22:00,,
2025-09-20,55+Games,09:00,17:00,,
2025-09-21,55+Games,09:00,17:00,,
2025-09-22,55+Games,09:00,17:00,,
2025-09-23,55+Games,09:00,17:00,,
2025-09-24,55+Games,09:00,17:00,,
2025-09-26,NSCA Umpire Course,09:00,15:00,,
2025-10-04,Beginner Stick Clinic PM,10:00,15:00,10am - 3pm,
2025-10-05,Stick Clinic PM,10:00,13:00,10am - 1pm,
2025-10-25,International Auction rental,08:00,16:30,8:00 am - 430pm - Hall only.,
2025-10-31,U18 Junior Cash Spiel,09:00,17:00,,
2025-11-01,U18 Junior Cash spiel,09:00,17:00,,
2025-11-15,Turkey spiel,09:00,17:00,,
2025-12-06,Red Cross Xmas party,16:30,19:30,Red Cross Christmas party - Hall only - 430-730pm,
2025-12-09,Inter-league Stick,13:00,15:30,1:00 - 3:30pm,
2025-12-13,To Be Confirmed -CKBW Xmas party,18:00,23:30,6pm - 1130pm,
2025-12-26,Lobster Spiel,09:00,17:00,,
2025-01-02,Mixed Stick Tournament - Densmore,09:00,18:00,"Fri, Sat  - 9am-6pm, Sun 9am-2pm",
2025-01-06,Inter-league Stick,13:00,15:30,1:00 - 3:30pm,
2025-01-13,Inter-league Stick,13:00,15:30,1:00 - 3:30pm,
2025-01-23,Mixed Stick Provincials,09:00,17:00,Ends Mon at 4pm,
2025-01-29,U15 Junior Provincials,09:00,17:00,,
2025-02-01,U15 Provincials,09:00,17:00,,
2025-03-27,Sleepwalkers,09:00,17:00,,
2025-03-28,Sleepwalkers,09:00,17:00,,
2025-06-04,Shuffleboard,09:00,12:00,9am-12pm,
2025-06-11,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-02,Shuffleboard,09:00,12:00,9am-12pm,
2025-07-09,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-06,Shuffleboard,09:00,12:00,9am-12pm,
2025-08-13,Shuffleboard,09:00,12:00,9am-12pm,
2025-09-01,Ice Install in progress,09:00,17:00,,
